PERMNO,date,TICKER,COMNAM,RET,RETX
85414,9/20/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.009906,0.009906
85414,9/23/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.013079,0.013079
85414,9/24/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.005917,-0.005917
85414,9/25/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.003247,-0.003247
85414,9/26/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.0038,0.0038
85414,9/27/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.011898,0.011898
85414,9/30/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.013896,-0.013896
85414,10/1/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.001084,-0.03794
85414,10/2/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.047324,-0.047324
85414,10/3/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.023655,0.023655
85414,10/4/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.049682,-0.049682
85414,10/7/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.033435,-0.033435
85414,10/8/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.012579,-0.012579
85414,10/9/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.006369,-0.006369
85414,10/10/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.025641,0.025641
85414,10/11/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.0325,0.0325
85414,10/14/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.021792,-0.021792
85414,10/15/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.035891,0.035891
85414,10/16/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003584,0.003584
85414,10/17/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.010119,0.010119
85414,10/18/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.007071,-0.007071
85414,10/21/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001187,0.001187
85414,10/22/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.013041,-0.013041
85414,10/23/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.000601,-0.000601
85414,10/24/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.015024,0.015024
85414,10/25/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.021314,0.021314
85414,10/28/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.011594,0.011594
85414,10/29/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.020057,-0.020057
85414,10/30/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005848,0.005848
85414,10/31/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.019186,0.019186
85414,11/1/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.009698,-0.009698
85414,11/4/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0,0
85414,11/5/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005184,0.005184
85414,11/6/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.008023,-0.008023
85414,11/7/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.029463,-0.029463
85414,11/8/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.008929,-0.008929
85414,11/11/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.003604,-0.003604
85414,11/12/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.000603,0.000603
85414,11/13/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.006024,0.006024
